"ticket_no","name","ticket_title","description_plain","comments","solution"
T007660,iApp,TKT024485,"54509 - Shruti Shekhar Gujar has raised remote work for 18th March & same is also approved but in attendance view 18th March is reflecting as absent.",Assign to ketul,Case checked and issue has been resolved
T007660,iApp,TKT024485,"54509 - Shruti Shekhar Gujar has raised remote work for 18th March & same is also approved but in attendance view 18th March is reflecting as absent.",Case checked and issue has been resolved,Case checked and issue has been resolved
T007661,iApp,TKT024551,There is no issue in turnstile from mechanical end . Control card frequently hanging and gives continuous open command to turnstile . Now turnstile is working after reset power supply .Please ask spectra team or related person to resolve the hanging problem of control card.,Assign to ketul,Latest firmware shared to Sun Team For Check
T007661,iApp,TKT024551,There is no issue in turnstile from mechanical end . Control card frequently hanging and gives continuous open command to turnstile . Now turnstile is working after reset power supply .Please ask spectra team or related person to resolve the hanging problem of control card.,Discussed With Sun Team But Client Not Available,Latest firmware shared to Sun Team For Check
T007661,iApp,TKT024551,There is no issue in turnstile from mechanical end . Control card frequently hanging and gives continuous open command to turnstile . Now turnstile is working after reset power supply .Please ask spectra team or related person to resolve the hanging problem of control card.,Pending From Client Side,Latest firmware shared to Sun Team For Check
T007661,iApp,TKT024551,There is no issue in turnstile from mechanical end . Control card frequently hanging and gives continuous open command to turnstile . Now turnstile is working after reset power supply .Please ask spectra team or related person to resolve the hanging problem of control card.,Case Forwarded To Hardware Team,Latest firmware shared to Sun Team For Check
T007661,iApp,TKT024551,There is no issue in turnstile from mechanical end . Control card frequently hanging and gives continuous open command to turnstile . Now turnstile is working after reset power supply .Please ask spectra team or related person to resolve the hanging problem of control card.,Latest firmware shared to Sun Team For Check,Latest firmware shared to Sun Team For Check
T007662,iApp,TKT022776,Employee getting error while updating OD in night after 22:00 hour.,Assign to ketul,"No issue found from our end.
Employee was applying OD for invalid date and time."
T007662,iApp,TKT022776,Employee getting error while updating OD in night after 22:00 hour.,Discussed with sun team but client not available,"No issue found from our end.
Employee was applying OD for invalid date and time."
T007662,iApp,TKT022776,Employee getting error while updating OD in night after 22:00 hour.,Pending From Client Side,"No issue found from our end.
Employee was applying OD for invalid date and time."
T007662,iApp,TKT022776,Employee getting error while updating OD in night after 22:00 hour.," No issue found from our end.
Employee was applying OD for invalid date and time.","No issue found from our end.
Employee was applying OD for invalid date and time."
T007663,iApp,UAT-Base Master ,UAT- 1.Base 2.Employee Master 3.Policy mapping 4.Shift Allocation 5. Shift Change 6.Reporcess,Ticket is generated on behalf of Milan so assign to him.,
T007663,iApp,UAT-Base Master ,UAT- 1.Base 2.Employee Master 3.Policy mapping 4.Shift Allocation 5. Shift Change 6.Reporcess,MAster Setup UAT done Card Inventory/ Emp Master  ,
T007664,iApp,TKT023605,Toansa SP175 Site All Employees Coff Balance reflecting Netive. please take kind action on this,Assign to ketul,"Issue has been resolved in new release
"
T007664,iApp,TKT023605,Toansa SP175 Site All Employees Coff Balance reflecting Netive. please take kind action on this,Mail Activity To Client Regarding lvdetails/lvtran/adjust apply data,"Issue has been resolved in new release
"
T007664,iApp,TKT023605,Toansa SP175 Site All Employees Coff Balance reflecting Netive. please take kind action on this,Pending From Client Side,"Issue has been resolved in new release
"
T007664,iApp,TKT023605,Toansa SP175 Site All Employees Coff Balance reflecting Netive. please take kind action on this,"Issue has been resolved in new release
","Issue has been resolved in new release
"
T007664,iApp,TKT023605,Toansa SP175 Site All Employees Coff Balance reflecting Netive. please take kind action on this,"Issue has been resolved in new release
","Issue has been resolved in new release
"
T007665,iApp, MSSQL Server password reset,"Our HR partner (vendor) is likely to rollout their software in the first week of Apr 24, hence it is requested to find/reset the password for my SQL application for smooth transaction.",Ticket is generated on behalf of Milan so assign to him.,We have decode password from Spectra Base and create new user for SQL
T007665,iApp, MSSQL Server password reset,"Our HR partner (vendor) is likely to rollout their software in the first week of Apr 24, hence it is requested to find/reset the password for my SQL application for smooth transaction.",We have decode password from Spectra Base and create new user for SQL,We have decode password from Spectra Base and create new user for SQL
T007666,iApp,observation during POC issue ,"With continues to trail email we have found that below glitches During POC: 1.Sahil face (44221) is registered but it’s not allowing in plant while it was working before five days. 2.My face(54070) is registered in face scribe but it was working only in entry side, it’s not allowing in out face reader and event is also not showing in transaction view. After assigning access it was working. 3. Kailas sir ( Emp id 11894 ) is registered in face scribe but it was working only in entry side, it’s not allowing in out face reader and event is also not showing in transaction view. After assigning access it was working.",Forwarding to the L2 for checking the face scribe related issue ,"Device is factory rested by us, after factory rested user was not sync again on device due to this reason not able to punch on exit device, After reassign access it is working fine. solution provided by setul sir."
T007666,iApp,observation during POC issue ,"With continues to trail email we have found that below glitches During POC: 1.Sahil face (44221) is registered but it’s not allowing in plant while it was working before five days. 2.My face(54070) is registered in face scribe but it was working only in entry side, it’s not allowing in out face reader and event is also not showing in transaction view. After assigning access it was working. 3. Kailas sir ( Emp id 11894 ) is registered in face scribe but it was working only in entry side, it’s not allowing in out face reader and event is also not showing in transaction view. After assigning access it was working.",we are checking the device related issue but some identification regarding need to forwarding to the L3 (Setul Sir),"Device is factory rested by us, after factory rested user was not sync again on device due to this reason not able to punch on exit device, After reassign access it is working fine. solution provided by setul sir."
T007666,iApp,observation during POC issue ,"With continues to trail email we have found that below glitches During POC: 1.Sahil face (44221) is registered but it’s not allowing in plant while it was working before five days. 2.My face(54070) is registered in face scribe but it was working only in entry side, it’s not allowing in out face reader and event is also not showing in transaction view. After assigning access it was working. 3. Kailas sir ( Emp id 11894 ) is registered in face scribe but it was working only in entry side, it’s not allowing in out face reader and event is also not showing in transaction view. After assigning access it was working.","Device is factory rested by us, after factory rested user was not sync again on device due to this reason not able to punch on exit device, After reassign access it is working fine.  ","Device is factory rested by us, after factory rested user was not sync again on device due to this reason not able to punch on exit device, After reassign access it is working fine. solution provided by setul sir."
T007666,iApp,observation during POC issue ,"With continues to trail email we have found that below glitches During POC: 1.Sahil face (44221) is registered but it’s not allowing in plant while it was working before five days. 2.My face(54070) is registered in face scribe but it was working only in entry side, it’s not allowing in out face reader and event is also not showing in transaction view. After assigning access it was working. 3. Kailas sir ( Emp id 11894 ) is registered in face scribe but it was working only in entry side, it’s not allowing in out face reader and event is also not showing in transaction view. After assigning access it was working.","Device is factory rested by us, after factory rested user was not sync again on device due to this reason not able to punch on exit device, After reassign access it is working fine. solution provided by setul sir.","Device is factory rested by us, after factory rested user was not sync again on device due to this reason not able to punch on exit device, After reassign access it is working fine. solution provided by setul sir."
T007667,ARSWin-Net,Inter location issue,Not able to assign Inter location access to employee,We assign the inter location access to employee but error shows employee don't have access in existing location. We found there is no reader in his existing location so we add dummy reader and assign access to him than assign the inter location. Same process did for other three employees hence issue has been resolved.,We assign the inter location access to employee but error shows employee don't have access in existing location. We found there is no reader in his existing location so we add dummy reader and assign access to him than assign the inter location. Same process did for other three employees hence issue has been resolved.
T007668,CMS,all device punch issue ,all device punch issue,"""Took remote access from the client's end:

Updated firmware in the device as per instructions from the development team.
Checked for some finger mismatch errors.
The development team is currently working on creating new firmware to address the finger issue.""","Took remote access from client's end
> check device utitili
> dump all employee
> dump iteam 
> get all finger 
> set all device finger 
> update firmware all device "
T007668,CMS,all device punch issue ,all device punch issue,"""Took remote access from the client's end:

Updated firmware in the device as per instructions from the development team.
Checked for some finger mismatch errors.
The development team is currently working on creating new firmware to address the finger issue.""","Took remote access from client's end
> check device utitili
> dump all employee
> dump iteam 
> get all finger 
> set all device finger 
> update firmware all device "
T007668,CMS,all device punch issue ,all device punch issue,"""As per remote access:

Halt device connectivity from the client side.
Follow instructions provided by the development team.
Update firmware.""","Took remote access from client's end
> check device utitili
> dump all employee
> dump iteam 
> get all finger 
> set all device finger 
> update firmware all device "
T007668,CMS,all device punch issue ,all device punch issue,"""As per remote access:

Halt device connectivity from the client side.
Follow instructions provided by the development team.
Update firmware.""","Took remote access from client's end
> check device utitili
> dump all employee
> dump iteam 
> get all finger 
> set all device finger 
> update firmware all device "
T007668,CMS,all device punch issue ,all device punch issue,"Took remote access from client's end
> check device utitili
> dump all employee
> dump iteam 
> get all finger 
> set all device finger 
> update firmware all device ","Took remote access from client's end
> check device utitili
> dump all employee
> dump iteam 
> get all finger 
> set all device finger 
> update firmware all device "
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.","As we have discussed with internal team whenever restarting iApp server, devices connected with MQTT protocol, are showing the Error, till we restart them physically.  In MQTT protocol, connection is not getting established automatically between device and server. As  we suggested them to  restarting the devices from the server using boot loader but client need a permanent solution for this communication issue, as like the regularization devices connected to the server - 10.117.1.49 (Unified Attendance System).  ","Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.",Client want permanent solution for Customized MQTT service. Issue   escalate to Prakash Sir .,"Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.","Client is facing error 'MQTT Server is not available'  due to network disruption.

In MQTT protocol, connection is not getting established automatically between device and server.  To establish connection request from device to server, we suggested client to restart the device earlier.  Now client is requesting to trigger automatic connection without restarting.  

We raised this concern to our development team.
","Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.","We requested Development team to arrange to establish connectivity automatically.
Reference - Email of Prakash on 28-03-2024 14:27.","Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.","Javedbhai informed to check with embedded team.  We forwarded the case to Nisarg.
","Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.",As updated by Nisarg - We need to check firmware and update latest firmware.,"Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.",Assigned to Milan ,"Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.",inform client to update latest  Firmware .,"Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.",Please check firmware details with client and close.,"Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.",Escalated to Milan ,"Ticket closed

"
T007669,BioStamp 3S,MQTT server connectivity issues,"Recently we're facing this kind of MQTT server connectivity issues in all our biometric devices connected to the server - 10/117.1.241 (Digitization Project) due to network disruption. As suggested by you we are now restarting the devices from the server using boot loader. Please find the attachment for reference. Kindly provide a permanent solution for this communication issue, as like the regularisation devices connected to the server - 10.117.1.49 (Unified Attendance System). Kindly do the needful.",Ticket closed ,"Ticket closed

"
T007670,iApp,After adding new device command goes pending,After adding new device command goes pending,"We checked and found configured subnet mask and getaway was wrong as compared with ipconfig, suggested them to configure the right parameter into device hence issue has been resolved.","We checked and found configured subnet mask and getaway was wrong as compared with ipconfig, suggested them to configure the right parameter into device hence issue has been resolved."
T007671,iApp,Not able to delete the device,"Not able to delete the device, error shows dependency found.","We advised them that once a device is assigned to a user group and is associated with an employee's transaction, the device cannot be deleted due to database dependencies. In the event that a new device needs to be configured with the same IP, the old device's IP address and name should be changed.","We advised them that once a device is assigned to a user group and is associated with an employee's transaction, the device cannot be deleted due to database dependencies. In the event that a new device needs to be configured with the same IP, the old device's IP address and name should be changed."
T007672,iApp,Coff not showing ,Below employee is not able to apply c-off. Name: Vivek Singh Chauhan Emp No: 140813 Date worked on: 17-03-24 Coff required on: 20-03-24,"1. Opening the attendance sheet, we found that overtime application had already been approved, but the coff count was showing as zero. 
2. We discovering the bug, we immediately solved the issue due to the pending payroll process. 
3. Therefore, we cancelled the overtime application in the attendance sheet. 
4. To check the application status, we executed the following query: 
SELECT * FROM EmpMaster WHERE Code='115517' 
SELECT * FROM adjustapply(nolock) WHERE userid='18696' AND attddate='2021/11/17'
5. The last status for the application was showing as 'G', so we updated it as 'P'. 
6. Upon reprocessing the attendance sheet, the application was now showing as pending at the approver. 
7. Having approved the application from the sanction list, the coff count now showed properly.","1. Opening the attendance sheet, we found that overtime application had already been approved, but the coff count was showing as zero. 
2. We discovering the bug, we immediately solved the issue due to the pending payroll process. 
3. Therefore, we cancelled the overtime application in the attendance sheet. 
4. To check the application status, we executed the following query: 
SELECT * FROM EmpMaster WHERE Code='115517' 
SELECT * FROM adjustapply(nolock) WHERE userid='18696' AND attddate='2021/11/17'
5. The last status for the application was showing as 'G', so we updated it as 'P'. 
6. Upon reprocessing the attendance sheet, the application was now showing as pending at the approver. 
7. Having approved the application from the sanction list, the coff count now showed properly."
T007673,DSC-Communication,Not able to punch on face device,Our second face recognition device is not taking punches since yesterday and also facing problem for new enrollment again.,"As we checked in facescribe postal checked in control log, no any data found but there is data in capture log. We found white /black con is 100 means if face match 100% with registered face than it will allow the access otherwise denied the access. As per standard it should be 92%, we update it at 92% than made sample punch hence its capturing the face and also add new user face.","As we checked in facescribe postal checked in control log, no any data found but there is data in capture log. We found Black/white list verification threshold is 100 means if face match 100% with registered face than it will allow the access otherwise denied the access. As per standard it should be 92%, we update it at 92% than made sample punch hence its capturing the face and also add new user face."
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,Forwarding to the L2,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,"2 controller anti pass back updated they will be check tomorrow and update to me ",as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,client confirmation pending ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,as per embedded team required command log file checked but no any update in this log then after embedded team checking the issue then after inform to me ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,Embedded Developments teams side pending ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,we are updated the new firmware for 3 device  for checking the anti pass back for tomorrow . they will be check tomorrow then after we will be update the all device ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,client side confirmation pending ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,we are updated the 7 controller new firmware updated for anti-pass back reset regarding they will be confirm then after close this case,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,client side confirmation required,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,they will be check properly then after update to me.,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,client side confirmation pending ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,"the transaction list for verification, and it shows that anti-passback reset is occurring on all controllers except one (11th Floor Controller - 4). The issue is only with that controller",as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,client will be provide a remote connection then after we update ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,one controller factory reset and user sync process done and anti-passback parameter set on device then they will be check on tomorrow update to me ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,client confirmation pending ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,I have updated the latest firmware on 172.20.90.137 (11th Floor Controller-4). they will be inform me after checking anti-pass back on this controller.,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,client confirmation pending ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,internally checking require,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,internally checking require,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,we check with the Mr. Rohit sir currently antipass-back working done. they will be check and confirmation pending ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,client side confirmation pending ,as per client confirmation issue has been resolved 
T007674,iApp,anti pass back issue in only 3 controller,anti pass back issue in only 3 controller,as per client confirmation issue has been resolved ,as per client confirmation issue has been resolved 
T007675,BioStamp 2C,Device hang,we are having issue with one of our Biometric devices and it’s not recognizing the finger looks like freeze. We have rebooted the device multiple times but still same issue. Please help to align engineer and get this fix asap.,"Issue : The gadget is hanging.  It will function properly after restating, but eventually it will hang again.
We update the firmware and suggested them to observe for sometime.","Issue : The gadget is hanging. It will function properly after restating, but eventually it will hang again. We update the firmware and suggested them to observe for sometime."
T007676,iApp,Outdoor duty rejected.,The user's outdoor duty application is getting rejected.,"As per the shift timing, the user has not completed the shift's working hours. Here, the user needs to apply for early permission for the day to regularize and apply for outdoor duty (as per their attendance policy).
","As per the shift timing, the user has not completed the shift's working hours. Here, the user needs to apply for early permission for the day to regularize and apply for outdoor duty (as per their attendance policy)."
T007677,iApp,Overtime pending ,Pls check the below mention case. The employee has performed 16 hours duty but OT is showing pending at system. Kindly arrange to resolve the same. over time display as pending at system for date 22.03.2024 Employee Name:- Pramod Kumar Patel Employee ID:-123387 Employee Name:- Dileep Kumar pal Employee ID:-138765,Need to forward L2.,"UPDATE adjustapply SET f7 = NULL  WHERE category='Overtime' AND SendAppTo='-10' AND laststatus IN('P','U') AND f7=1
AND attddate BETWEEN '2024-01-01' AND '2024-03-27' then after services stopped and start then after run the scheduler then issue has been resolved "
T007677,iApp,Overtime pending ,Pls check the below mention case. The employee has performed 16 hours duty but OT is showing pending at system. Kindly arrange to resolve the same. over time display as pending at system for date 22.03.2024 Employee Name:- Pramod Kumar Patel Employee ID:-123387 Employee Name:- Dileep Kumar pal Employee ID:-138765,"UPDATE adjustapply SET f7 = NULL  WHERE category='Overtime' AND SendAppTo='-10' AND laststatus IN('P','U') AND f7=1
AND attddate BETWEEN '2024-01-01' AND '2024-03-27' then after services stopped and start then after run the scheduler then issue has been resolved ","UPDATE adjustapply SET f7 = NULL  WHERE category='Overtime' AND SendAppTo='-10' AND laststatus IN('P','U') AND f7=1
AND attddate BETWEEN '2024-01-01' AND '2024-03-27' then after services stopped and start then after run the scheduler then issue has been resolved "
T007678,iApp,User is not able to punch on new devices.,User is not able to punch on new devices.,"We took remote session of the user and found that they have installed a new Face scribe device on site but users are not able to punch on device ,
To resolve issue we have guided user with below steps,
I App > Attendance Management > Device Operation > Database > Select Device > Sync > User > Save 
I App > Attendance Management > Work Flow > Assign Access > Select Employees > Assign Local Access > Select Device > Save

Now employees are able to punch.
","We took remote session of the user and found that they have installed a new Face scribe device on site but users are not able to punch on device ,
To resolve issue we have guided user with below steps,
I App > Attendance Management > Device Operation > Database > Select Device > Sync > User > Save 
I App > Attendance Management > Work Flow > Assign Access > Select Employees > Assign Local Access > Select Device > Save

Now employees are able to punch.
"
T007679,iApp,PL leave ledger report,Can you please share the PL leave ledger of below mentioned employees on priority. I am trying to do this but not able to fetch the report.,We generate the leave ledger report of all mentioned relived employee.,We generate the leave ledger report of all mentioned relived employee.
T007680,iApp,Problem in login particular id in particular tab.,Problem in login particular id in particular tab.,"We took remote session of the user and found that while accessing ,
I App > Attendance Management > operation > attendance View
User is facing issue so we have perform attached snapshot query and issue has been resolved.","We took remote session of the user and found that while accessing ,
I App > Attendance Management > operation > attendance View
User is facing issue so we have perform attached snapshot query and issue has been resolved."
T007681,ARSWin-Net,Fetch attendance data,"We are using Spectra make access control system Model:- UNISTAMP 2C, P/N:-UST-2C-P , is there any provision in access control for getting the punch in access data for the month of march.","As we have checked and discussed, There is no network connectivity between device and software. Please contact your IT person to resolve the network connectivity issue.

Note : Network connectivity is mandatory between device and software to fetch the punch in access data from device. ","As we have checked and discussed, There is no network connectivity between device and software. Please contact your IT person to resolve the network connectivity issue.

Note : Network connectivity is mandatory between device and software to fetch the punch in access data from device. "
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.","Teams meeting discussion :-
Following today's team meeting, we discussed three new report requirements. please confirm the same.
Below are the details we agreed upon:
Report 1: Monthly Manpower Report
(Reference Report: Form No. 16 Report)
Comment: You require data regarding designation-wise contract employees and the total man-days worked by individuals under each designation.
For Total Man- days column consider Attendance Remarks  like ""PP"" and '""PH"" only and it will fetch from employee Attendance sheet.
Report 2: Monthly SDP Report
(Reference Report: Monthly Report for Worker)
Comment: Please share more clarity of ""SDP"", let us know which column refer from Attendance sheet of employee for Total SDP
Report 3: Canteen Item Wise Total Count Report
(Reference Report: Item Consumption Periodic Report)
Comment: Following our discussion, if there are similar types of 10 tea items available in Moraiya with different names (e.g., Tea1, Mor Tea, Noon Tea, Tea2), they will not be merged, and the total count will not include all merged items because there are different item masters associated with different canteens.","There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.",Waiting for client confirmation. ,"There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.","1. Discuss with the client and inform them that we require further clarification regarding the report requirements.
2. We have scheduled a Teams meeting today at 3 PM for additional clarification.","There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.",We have scheduled a Teams meeting for 3 PM.,"There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.","1. Schedule a Teams meeting with Mr. Karan Singh, the security head, to discuss all the requirements.
Report 1: Monthly Manpower Report (Reference Report: Form No. 16 Report)
Report 2: Monthly SDP Report (Reference Report: Monthly Report for Worker)
Report 3: Canteen Item Wise Total Count Report (Reference Report: Item Consumption Periodic Report)
2. During the meeting, address the feasibility of the report and explain the logic behind how the report functions.
3. Request Mr. Karan Singh to grant us time until Monday to discuss this requirement with Anil Sir, after which we will provide them with an update.","There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.",We need to discuss the feasibility of the report with Anil Sir.,"There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.","I created the requirement gathering form for the three new reports.
Two reports are for the attendance management system, and one report is for the canteen management system.","There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.",Waiting for anil sir response. ,"There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.",Assign to level2. ,"There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.",this case already i forwarded to the Anil sir team for checking the feasibility assessment ,"There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.",New requirement for feasibility assessment.,"There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.",New Requirement under assessment  ,"There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.","There is not response from client, we closed the  ticket","There is not response from client, we closed the ticket"
T007682,iApp,Report requirement ,"As discussed yesterday, this requirement is very urgent , so please provide the reports in the given format and revert the status of your team discussion.","There is not response from client, we closed the ticket","There is not response from client, we closed the ticket"
T007683,iApp,Canteen ARS Win Synchronization problem,facing problem of ARS win data synchronization to canteen software.,waiting for client remote,After Update New Canteen.exe and Canteenreader.dll issue has been resolved
T007683,iApp,Canteen ARS Win Synchronization problem,facing problem of ARS win data synchronization to canteen software.,waiting for client remote,After Update New Canteen.exe and Canteenreader.dll issue has been resolved
T007683,iApp,Canteen ARS Win Synchronization problem,facing problem of ARS win data synchronization to canteen software.,Assign to ketul.,After Update New Canteen.exe and Canteenreader.dll issue has been resolved
T007683,iApp,Canteen ARS Win Synchronization problem,facing problem of ARS win data synchronization to canteen software.,"New Exe Transferred And register dll but not resolved 
case transferred to viral",After Update New Canteen.exe and Canteenreader.dll issue has been resolved
T007683,iApp,Canteen ARS Win Synchronization problem,facing problem of ARS win data synchronization to canteen software.,Pending From Viral,After Update New Canteen.exe and Canteenreader.dll issue has been resolved
T007683,iApp,Canteen ARS Win Synchronization problem,facing problem of ARS win data synchronization to canteen software.,After Update New Canteen.exe and Canteenreader.dll issue has been resolved,After Update New Canteen.exe and Canteenreader.dll issue has been resolved
